type,jan_quit,feb_quit,mar_quit,apr_quit,may_quit,jun_quit,jul_quit,aug_quit,sep_quit,oct_quit,nov_quit,dec_quit,total_quit,jan_m,feb_m,mar_m,apr_m,may_m,jun_m,jul_m,aug_m,sep_m,oct_m,nov_m,dec_m,total_m
การผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,1,1,0,1,0,2,5,3,13,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.2,18.0,5.0,30.2
การบ่มและการอบใบยาสูบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตบุหรี่และซิการ์,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
การผลิตผลิตภัณฑ์จากยาสูบและผลิตภัณฑ์ที่ใช้แทนยาสูบอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น (ยกเว้นบุหรี่และซิการ์),0,0,0,0,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
การเตรียมเส้นใย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การปั่นด้ายจากเส้นใยธรรมชาติ,0,0,0,0,0,0,0,0,1,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0
การปั่นด้ายจากเส้นใยสังเคราะห์,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,6.1
การทอผ้าจากเส้นใยธรรมชาติ,0,0,0,0,0,0,3,0,0,0,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,7.0,0.0,14.2
การทอผ้าจากเส้นใยสังเคราะห์,0,0,1,0,0,1,2,1,0,1,0,4,10,0.0,0.0,1.0,0.0,0.0,15.0,7.6,1.0,0.0,42.5,0.0,4.0,71.1
การทอผ้าจากเส้นใยอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
การขจัดไขมันและสิ่งสกปรกการฟอกขาวและการย้อมสี,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การพิมพ์ผ้า,2,0,1,0,0,0,0,1,1,1,1,2,9,0.51,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.1,11.71
การตกแต่งสำเร็จสิ่งทอด้วยวิธีอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การผลิตผ้าถักและผ้าถักโครเชต์,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
การผลิตวัสดุสิ่งทอสำเร็จรูปยกเว้นเครื่องแต่งกาย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเครื่องนอนผ้าที่ใช้บนโต๊ะอาหารห้องน้ำและห้องครัว,2,1,1,0,0,1,0,0,0,0,0,1,6,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
การผลิตผลิตภัณฑ์จากผ้าใบและผ้าอื่น ๆ ที่คล้ายกัน,0,0,0,0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0
การผลิตวัสดุสิ่งทอสำเร็จรูปอื่น ๆ ยกเว้นเครื่องแต่งกายซึ่งมิได้ จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,1,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,3.5
การผลิตพรมและพรมหนา,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเชือกเชือกเส้นใหญ่ตาข่ายแหและอวน,0,0,1,0,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0
การผลิตผ้าที่ไม่ได้ทอ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสิ่งทอชนิดใช้ในทางอุตสาหกรรม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสิ่งทออื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,0,0,0,1,0,1,1,0,1,5,10,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,395.5,403.5
การผลิตเสื้อผ้าเครื่องแต่งกาย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเสื้อผ้าเครื่องแต่งกายยกเว้นการรับจ้างตัดเย็บเสื้อผ้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเสื้อผ้าเครื่องแต่งกายที่ใช้ในงานอุตสาหกรรมวิชาชีพนักเรียนและนักศึกษา,2,0,0,0,0,0,0,0,0,0,0,0,2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
การผลิตเสื้อผ้าชั้นนอก,7,2,3,1,1,3,6,7,10,8,5,20,73,9.6,2.0,4.0,1.0,4.0,3.15,7.6,26.8,50.5,17.3592,5.0,36.2,167.2092
การผลิตชุดชั้นในและชุดนอน,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
การผลิตเสื้อผ้าสำหรับเด็กทารก,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
การผลิตชุดกีฬา,0,0,0,0,0,0,0,0,1,0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
การผลิตเสื้อผ้าเครื่องแต่งกายจากหนัง,0,0,0,0,0,0,1,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
การตัดเย็บเสื้อผ้าตามคำสั่งของลูกค้า,0,4,0,0,0,0,4,0,1,1,5,5,20,0.0,12.95,0.0,0.0,0.0,0.0,34.0,0.0,4.0,1.8,28.2,5.6,86.55
การผลิตเครื่องปกคลุมหรือสวมศีรษะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเครื่องประกอบเครื่องแต่งกายอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,2,0,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,8.0
การผลิตสิ่งของต่าง ๆ ที่ทำจากขนสัตว์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเสื้อผ้าเครื่องแต่งกายด้วยการถักและถักโครเชต์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตถุงเท้าถุงน่องชุดชั้นในด้วยการถักและถักโครเชต์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การฟอกและการตกแต่งเครื่องหนังการตกแต่งและการย้อมสี หนังขนสัตว์,0,0,0,0,0,0,0,0,0,0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,6.5
การผลิตกระเป๋าเดินทางกระเป๋าถือและกระเป๋าอื่นๆที่ คล้ายกันอานและเครื่องลากเทียมสัตว์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตผลิตภัณฑ์ประเภทกระเป๋า,0,2,0,0,0,1,1,0,0,0,2,1,7,0.0,1.1,0.0,0.0,0.0,0.2,5.0,0.0,0.0,0.0,1.1,5.0,12.4
การผลิตอานเครื่องลากเทียมสัตว์และของเล่นสัตว์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสิ่งของอื่นๆที่ทำจากหนังฟอกหรือหนังอัดซึ่งมิได้ จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,2,0,1,0,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.5,0.0,0.0,1.2,12.7
การผลิตรองเท้าหนัง,2,0,0,0,0,0,0,1,1,0,1,3,8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,7.0,16.6
การผลิตรองเท้ายาง,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
การผลิตรองเท้าไม้,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตรองเท้ากีฬา,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การผลิตรองเท้าอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
การเลื่อยไม้และการไสไม้,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การเลื่อยไม้,4,0,0,0,0,1,5,2,4,2,2,5,25,9.05,0.0,0.0,0.0,0.0,5.0,35.5,6.0,5.0,6.0,3.2,65.1795,134.92950000000002
การอบและการอัดน้ำยาไม้,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตแผ่นไม้บางและผลิตภัณฑ์ไม้,2,0,0,0,0,0,0,0,0,0,0,1,3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.5
การผลิตโครงสร้างที่ใช้ในการก่อสร้างและเครื่องประกอบอาคาร,2,0,1,0,0,1,0,0,0,1,1,2,8,1.4,0.0,20.0,0.0,0.0,0.45,0.0,0.0,0.0,1.0,0.5,2.0,25.35
การผลิตภาชนะบรรจุที่ทำจากไม้,0,0,0,0,0,0,0,0,0,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0
การผลิตเครื่องใช้ในบ้านที่ทำจากไม้และไม้ก๊อก,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
การผลิตผลิตภัณฑ์ที่ทำจากฟางและวัสดุถักสาน,1,0,0,0,0,0,0,0,0,1,0,0,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1
การผลิตผลิตภัณฑ์จากไม้และไม้ก๊อกซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,0,0,0,1,1,0,2,2,1,0,1,10,12.0,0.0,0.0,0.0,1.0,10.0,0.0,1.5,1.2,1.0,0.0,2.0,28.7
การผลิตเยื่อกระดาษ,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4
การผลิตกระดาษและกระดาษแข็ง,1,1,0,0,0,0,1,0,0,0,0,1,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
การผลิตกระดาษลอนลูกฟูกและกระดาษแข็งลอนลูกฟูกและ การผลิตกล่องจากกระดาษและกระดาษแข็ง,0,0,0,0,0,0,1,1,2,1,3,4,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.3,0.8,8.8,19.0,36.900000000000006
การผลิตผลิตภัณฑ์ที่แปรรูปจากกระดาษเพื่อใช้ในครัวเรือนและ สุขอนามัย,0,0,0,0,2,0,1,0,0,1,0,2,6,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.1,10.1
การผลิตอุปกรณ์เครื่องเขียนจากกระดาษ,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
การผลิตผลิตภัณฑ์แปรรูปอื่น ๆ ที่ทำจากกระดาษและกระดาษแข็ง ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42
การพิมพ์และการผลิตซ้ำสื่อบันทึก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การพิมพ์และการบริการที่เกี่ยวเนื่องกับการพิมพ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การพิมพ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การพิมพ์หนังสือพิมพ์และวารสารอื่น ๆ,0,0,1,0,0,0,0,2,1,0,0,3,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,4.1,7.199999999999999
การพิมพ์ฉลาก,0,0,0,1,0,0,1,0,0,0,0,1,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.1
การพิมพ์อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,1,1,2,1,5,7,6,7,7,4,14,60,5.7,1.0,1.0,3.0,1.0,5.0,8.2,14.2,33.62,10.8,6.8,23.2,113.52
การบริการก่อนการพิมพ์,1,0,0,0,0,0,1,0,1,3,0,2,8,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.1,0.0,1.1,13.2
การบริการอื่น ๆ ที่เกี่ยวเนื่องกับการพิมพ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตซ้ำสื่อบันทึก,0,0,1,0,1,0,0,1,1,0,0,0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.5
การผลิตผลิตภัณฑ์ถ่านโค้ก,0,0,0,0,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.1
การผลิตผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตผลิตภัณฑ์ที่ได้จากโรงกลั่นปิโตรเลียม,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
การผลิตเชื้อเพลิงชีวภาพ,1,0,0,0,0,0,0,0,0,0,0,0,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากการกลั่นปิโตรเลียมซึ่งมิได้ จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเคมีภัณฑ์ขั้นมูลฐานปุ๋ยเคมีและสารประกอบไนโตรเจน พลาสติกและยางสังเคราะห์ขั้นต้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเคมีภัณฑ์ขั้นมูลฐาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตก๊าซที่ใช้ในงานอุตสาหกรรม,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
การผลิตสีย้อมผ้าและสีผง,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
การผลิตเคมีภัณฑ์อนินทรีย์ขั้นมูลฐานอื่น ๆ,0,0,0,0,0,0,0,1,0,0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.3,4.8
การผลิตแอลกอฮอล์และเอสเตอร์,1,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
การผลิตเคมีภัณฑ์อินทรีย์ขั้นมูลฐานอื่น ๆ,1,0,0,0,1,0,0,0,0,3,0,3,8,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,10.75,50.75
การผลิตปุ๋ยเคมีและปุ๋ยที่มีธาตุไนโตรเจนเป็นสารประกอบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตปุ๋ยเคมี,1,1,5,3,0,3,4,2,4,1,3,10,37,0.6,1.0,15.0,7.0,0.0,4.5,6.0,1.1,7.05,1.0,7.0,7.75,58.0
การผลิตสารประกอบไนโตรเจน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตพลาสติกและยางสังเคราะห์ขั้นต้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเม็ดพลาสติกและพลาสติกขั้นต้น,0,0,0,0,0,0,1,0,2,0,4,2,9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,19.0,0.0,10.0,9.0,46.0
การผลิตยางสังเคราะห์ขั้นต้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตยาปราบศัตรูพืชและเคมีภัณฑ์อื่นๆเพื่อการเกษตร,1,1,1,0,1,0,0,0,0,0,0,1,5,0.02,4.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.22
การผลิตสีน้ำมันชักเงาและสารเคลือบประเภทเดียวกันและ น้ำมันทาไม้,0,0,0,0,0,0,1,0,0,0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,10.0
การผลิตหมึกพิมพ์และผงหมึก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสบู่และสารซักฟอกผลิตภัณฑ์ทำความสะอาดและ ขัดเงาน้ำหอมและผลิตภัณฑ์ในห้องน้ำ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสบู่และสารซักฟอกผลิตภัณฑ์ที่ใช้ในการทำความสะอาด และขัดเงา,2,1,3,0,0,0,1,3,1,1,3,7,22,5.3,1.0,2.1,0.0,0.0,0.0,1.0,7.0,1.0,0.5,3.0,12.0,32.9
การผลิตเครื่องหอม เครื่องสำอาง และผลิตภัณฑ์ในห้องน้ำ,16,3,6,1,5,15,10,12,20,12,18,59,177,24.1,183.0,6.0,4.0,5.5,19.1,12.0,15.0,20.6,12.1,25.42,72.845,399.6650000000001
การผลิตผลิตภัณฑ์เคมีชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตผลิตภัณฑ์ที่เกี่ยวกับระเบิด,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตกาวและเจลาติน,0,0,0,0,0,0,0,0,0,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0
การผลิตน้ำมันหอมระเหย,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเคมีภัณฑ์ที่ใช้ในการถ่ายรูป,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตผลิตภัณฑ์เคมีอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,0,1,0,0,0,0,0,0,0,0,2,6,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
การผลิตเส้นใยประดิษฐ์,0,0,0,0,0,0,1,0,1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,10146.16651,0.0,3.0,817.25,0.0,0.0,10966.41651
การผลิตเภสัชภัณฑ์และเคมีภัณฑ์ที่ใช้รักษาโรค,1,1,0,2,0,1,4,3,0,6,1,6,25,1.0,1.0,0.0,6.0,0.0,0.5,4.6,3.969,0.0,15.0,1.0,7.0,40.069
การผลิตผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,2,1,1,7,3,3,4,6,4,5,4,21,61,21.0,1.0,2.0,15.0,5.0,8.0,12.0,104.15,8.1,10.0,4.0,26.45,216.7
การผลิตยางล้อและยางในรวมถึงการหล่อดอกยางและการซ่อม สร้างยางล้อ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตยางล้อและยางใน,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การหล่อดอกยางและการซ่อมสร้างยางล้อ,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
การผลิตผลิตภัณฑ์ยางชนิดอื่นๆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตยางแผ่นและยางแท่ง,0,0,0,0,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0
การผลิตน้ำยางข้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตสิ่งของเครื่องใช้ด้านสุขอนามัยหรือเภสัชกรรมที่ทำ จากยาง,0,0,0,0,0,0,0,1,0,0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75,0.0,0.0,5.0,1.0,53.75
การผลิตผลิตภัณฑ์ยางอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,1,1,2,1,0,1,1,2,1,2,1,15,3.9,100.0,1.0,5.0,10.0,0.0,0.75,2.0,13.0,1.25,1.4,1.0,139.3
การผลิตผลิตภัณฑ์พลาสติก,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตผลิตภัณฑ์ที่ใช้ในการก่อสร้าง/ประกอบอาคารที่ทำจากพลาสติก,0,0,0,0,0,2,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,5.0
การผลิตบรรจุภัณฑ์พลาสติก,0,1,2,0,1,1,1,2,2,3,4,6,23,0.0,1.0,2.0,0.0,2.0,1.0,2.0,12.9,505.0,5.0,2.9,51.5,585.3
การผลิตผลิตภัณฑ์พลาสติกสำเร็จรูป,0,0,0,0,0,1,1,2,0,2,1,0,7,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,13.0
การผลิตผลิตภัณฑ์พลาสติกอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
การผลิตเครื่องใช้บนโต๊ะอาหารในครัวและในห้องน้ำที่ทำจากพลาสติก,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
การผลิตผลิตภัณฑ์ไฟเบอร์กลาส,0,0,0,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
การผลิตผลิตภัณฑ์พลาสติกอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,1,0,1,1,3,4,1,4,7,1,12,35,0.0,1.0,0.0,5.0,0.2,11.0,7.5,2.0,31.25,82.5,3.0,67.6375,211.0875
