name,objective,place_t,plcae_e,place,post_num
บจ.เฟรซีเนียส เมดิคอล แคร์ (ประเทศไทย) จำกัด,ประกอบกิจการผลิต วัตถุดิบ เครื่องมือ และอุปกรณ์บำบัดรักษาโรคไต น้ำยาล้างไต ผลิตภัณฑ์ บรรจุภัณฑ์,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
บจ.พับลิค รีเลชั่นส์ แอนด์ มีเดีย คอนซัลแตนท์ จำกัด,กิจการโฆษณา ประชาสัมพันธ์,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,10400
บจ.โกลด์ โรสท์ (ประเทศไทย) จำกัด,ผลิตและจำหน่ายขนมขบเคี้ยวต่างๆ และผงสำเร็จรูป,แขวงตลิ่งชัน,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
บจ.โปรฟาร์ม่า จำกัด,ผลิตและจำหน่ายปลีกเคมีภัณฑ์,แขวงสวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,10250
บจ.โททัล พลัส เทคโนโลยี จำกัด,จำหน่ายปลีก บริการติดตั้ง ซ่อม วางระบบคอมพิวเตอร์,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
บจ.เอเซีย เพ็ท (ไทยแลนด์) จำกัด,ผลิตและจัดหน่ายเม็ดพลาสติกชนิดต่างๆ,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.อีซู ฟาง จำกัด,ประกอบกิจการค้า ยา ยารักษาโรค ยาบำรุง เภสัชภัณฑ์ เคมีภัณฑ์ เครื่องมือแพทย์,แขวงสะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,10240
บจ.ฉีหลิน บีเคเค จำกัด,ขายและให้เช่าทรัพย์สิน สินค้าเฟอร์นิเจอร์ที่ใช้แล้ว เกี่ยวกับการตกแต่งที่พักอาศัยทุกประเภท,แขวงป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100
บจ.คราฟท์แฟคเตอร์ จำกัด,ประกอบกิจการให้บริการเป็นภัณฑารักษ์ ทางด้านสถาปัตยกรรม มัณฑนศิลป์ ประณีตศิลป์,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.เสรีนา ดีเวลลอปเม้นท์ จำกัด,อสังหาริมทรัพย์ (ค้าที่ดิน),แขวงป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100
บจ.วินสตาร์ เดคคอร์ จำกัด,"รับออกแบบตกแต่งภายในและทำเฟอร์นิเจอร์ทุกชนิด, รับเ",ต.บางบัวทอง,อ.บางบัวทอง,จ.นนทบุรี,11110
บจ.ราชบุรี อัลลายแอนซ์ จำกัด,เข้าลงทุนถือหุ้นในบริษัทอื่น,ต.บางเขน,อ.เมืองนนทบุรี,จ.นนทบุรี,11000
บจ.ดีจี แคปพิเทล อินเตอร์เนชั่นแนล จำกัด,ประกอบธุรกิจ การค้า นำเข้า ส่งออก สินค้าชิ้นส่วนอุปกรณ์ เครื่องการสื่อสาร โทรคมนาคม ตลอดจนชิ้นส่วน,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
บจ.อินเทลลิเจ้นซ์ สแควร์ จำกัด,เข้าถือประโยชน์หรือเป็นผู้ถือหุ้นในบริษัทจำกัด บริษัทมหาชน หรือนิติบุคคลอื่นๆ,ต.หัวหิน,อ.หัวหิน,จ.ประจวบคีรีขันธ์,77110
บจ.เฮดเลย์ แมนชั่น จำกัด,เข้าเป็นหุ้นส่วนจำกัดความรับผิดชอบในห้างหุ้นส่วน และเป็นผู้ถือหุ้นในบริษัทจำกัดอื่น,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.ทรีท แมเนจเม้นท์ เอเซีย จำกัด,นำเข้า ส่งออก อุปกรณ์ด้านการรักษาความปลอดภัย,แขวงช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,10120
บจ.บางกอก (บีเคเค) อินเตอร์เนชั่นแนล จำกัด,ประกอบกิจการค้าปลีก ยา เภสัชภัณฑ์ เคมีภัณฑ์ เครื่องมือเครื่องใช้ทางวิทยาศาสตร์,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.วี โซล กรุ๊ป จำกัด,การขายตรงและการตลาดแบบขายตรง,ต.บางพูด,อ.ปากเกร็ด,จ.นนทบุรี,11120
บจ.ชาร์เตอร์ แคปปิตอล จำกัด,การเข้าเป็นผู้ถือหุ้นในบริษัทจำกัด,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,10110
บจ.ปั๊มปั๊มปั๊มปั๊ม จำกัด,ประกอบกิจการรับจ้างทำเสียงประกอบโฆษณา และสื่อโฆษณาทุกชนิด,แขวงวังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,10310
บจ.ไทยพร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด,ประกอบกิจการพัฒนาอสังหาริมทรัพย์,ต.ทับใต้,อ.หัวหิน,จ.ประจวบคีรีขันธ์,77110
บจ.เอ็น ไอ ไอ จำกัด,ดำเนินการด้านบริหารโครงการที่ปรึกษาธุรกิจอสังหาริมทรัพย์ รับบริหารโครงการ นิติบุคคลทุกประเภท,แขวงคลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
บจ.เอ เอ็ฟ จี เวนเจอร์ กรุ๊ป (ประเทศไทย) จำกัด,ประกอบกิจการเป็นที่ปรึกษาการตลาด,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.วิลล่า เอ็กซ์พอร์ต แซนเดิลส์ จำกัด,กิจการนำเข้าส่งออก ผลิต ซื้อและจำหน่ายหูรองเท้า รองเท้าทุกชนิดและอุปกรณ์สวมใส่บริเวณขาและเท้าทุกชนิด,ต.ดอนไก่ดี,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
บจ.ซันวา เซมิทสึ โคเกียว (ประเทศไทย) จำกัด,ประกอบกิจการนำเข้า จำหน่าย ส่งออก ชิ้นส่วน อุปกรณ์ เครื่องมือเครื่องใช้ต่างๆของเครื่องจักรทุกประเภท,แขวงพัฒนาการ,เขตสวนหลวง,กรุงเทพมหานคร,10250
บจ.เอ็มเกรส จำกัด,ขายสินค้า-บริการ และสื่อโฆษณาผ่านระบบอินเตอร์เน็ท,แขวงบางมด,เขตจอมทอง,กรุงเทพมหานคร,10150
บจ.ไทย อาจีย่า เซฟตี้ กลาส จำกัด,ซื้อจัดหารับเช่าให้เช่า เช่าซื้อถือกรรมสิทธิ์ครอบครองปรับปรุงใช้และจัดการโดยประการอื่นอสังหาริมทรัพย,ต.ดอนหัวฬ่อ,อ.เมืองชลบุรี,จ.ชลบุรี,20000
บจ.อายุยืน จำกัด,จำหน่าย เครื่องมือแพทย์และอุปกรณ์ทางการแพทย์ทุกชนิด จำหน่ายเครื่องสำอางค์ เวชภัณฑ์อาหารเสริม,แขวงวงศ์สว่าง,เขตบางซื่อ,กรุงเทพมหานคร,10800
บจ.ฟูลี่ชวน อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,ทำการถือหุ้นเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด หรือเป็นผู้ถือหุ้นในบริษัท จำกัดหรือมหาชน,ต.ลาดสวาย,อ.ลำลูกกา,จ.ปทุมธานี,12150
บจ.เฟิสท์ คูล รีฟริกเจอเรชั่น จำกัด,ตัวแทนจำหน่ายเครื่องปรับอากาศ อุปกรณ์ระบบเครื่องเย็น ซ่อมแซมแก้ไขและบำรุงรักษา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
บจ.จินซิน จำกัด,เป็นนายหน้าตัวแนตัวแทนค้าต่างในกิจการและธุรกิจทุกประเภทเว้นแต่ธุรกิจประกันภัยการหาสมาชิกให้สมาคม,แขวงจอมพล,เขตจตุจักร,กรุงเทพมหานคร,10900
บจ.ยูโทเปีย บีช ดีเวลลอปเม้นท์ จำกัด,ถือหุ้นในบริษัทจำกัดอื่น,ต.โคกกลอย,อ.ตะกั่วทุ่ง,จ.พังงา,82140
บจ.บิสซิเนส แอดไวซอรี่  จำกัด,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด,แขวงตลิ่งชัน,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
บจ.พี โอ โปรเฟสชั่นนัล จำกัด,ประกอบกิจการด้านการศึกษาโรงเรียนสอนพิเศษสถาบันการศึกษาสถาบันฝึกอบรมศูนย์การศึกษา,แขวงบางหว้า,เขตภาษีเจริญ,กรุงเทพมหานคร,10160
บจ.กรีน เอนเนอร์จี เทคโนโลยี โฮลดิ้ง จำกัด,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วน,ต.หนองแก,อ.หัวหิน,จ.ประจวบคีรีขันธ์,77110
บจ.เชงซี  ไทย จำกัด,ประกอบกิจการด้านการออกแบบ พัฒนา ฝึกอบรม และทดสอบโปรแกรมคอมพิวเตอร์ และระบบซอฟต์แวร์,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.พรรษภรณ์ มาร์เก็ตติ้ง จำกัด,ผู้จำหน่ายอาหารเสริมเพื่อสุขภาพ คอลลาเจนบำรุงผิวพรรณ ผลิตภัณฑ์บำรุงผิวพรรณ,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
บจ.เออีคอม คอนซัลติ้ง (ประเทศไทย) จำกัด,กิจกรรมให้คำปรึกษาด้านสิ่งแวดล้อม,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
บจ.กาหลง เอสเตท จำกัด,ประกอบกิจการค้าอสังหาริมทรัพย์ พัฒนาอสังหาริมทรัพย์เพื่อขาย ให้เช่า,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.เวเปอร์-เท็ค-เจเจเอสซี จำกัด,ประกอบกิจการการค้าด้านเมล็ดพันธุ์พืช รวบรวม จำหน่าย นำเข้า,แขวงช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,10120
บจ.มีเดีย ดิจิตอล จำกัด,ประกอบกิจการดำเนืนงานส่งกระจายเสียงทางวิทยุ โทรทัศน์ อินเตอร์เน๊ต,แขวงจตุจักร,เขตจตุจักร,กรุงเทพมหานคร,10900
บจ.ซอฟต์ทรอนิกส์ คอร์ปอเรชั่น จำกัด,ประกอบกิจการจัดจำหน่ายและเป็นตัวแทนจำหน่าย เครื่องมือ วัสดุอุปกรณ์และซอฟต์แวร์ ทางด้านวิศวกรรม ระบบ,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
บจ.พีเอชโอ จำกัด,การขายส่งและขายปลีกชิ้นส่วนและอุปกรณ์เสริมเก่าของยานยนต์,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.ดวงดี เจมส์ แอนด์ จิวเวลรี่ จำกัด,ประกอบกิจการนำเข้า ส่งออก พลอย และอัญมณีทุกชนิด,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.เนชั่น ลิเบอร์ตี้ เทคโนโลยี จำกัด,ประกอบกิจการรับเหมาบริการ จัดหาเจ้าหน้าที่ ช่วยเหลือพนักงานเจ้าหน้าที่สำนักงานตำรวจ,ต.พังโคน,อ.พังโคน,จ.สกลนคร,47160
บจ.ไวท์ วอร์ม ซัพพลาย จำกัด,ประกอบกิจการค้าผ้า ผ้าทอจากใยสังเคราะห์ ด้าย เครื่องอุปโภคอื่น สิ่งทอ,แขวงแสมดำ,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
บจ.พอดี สตูดิโอ จำกัด,ประกอบกิจการออกแบบงานก่อสร้าง งานตกแต่ง งานทัศนศิลป์ งานศิลปะรวมถึงงานสถาปัตยกรรม,แขวงสามวาตะวันออก,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.สมายล์คลับ (ไทยแลนด์) จำกัด,ประกอบกิจการขายเครื่องมือ อุปกรณ์ เสริมสวย,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.ไทย 100 จำกัด,ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,แขวงหนองบอน,เขตประเวศ,กรุงเทพมหานคร,10250
บจ.ทาเคอิจิ (ประเทศไทย) จำกัด,ประกอบกิจารให้คำปรึกษาด้านการบริหารธุรกิจ(ยกเว้นด้านการลงทุน),แขวงคลองตัน,เขตคลองเตย,กรุงเทพมหานคร,10110
บจ.แพนด้าแพคกิ้ง จำกัด,ประกอบกิจการค้าพลาสติก ถุงพลาสติก ทุกชนิด ลังกระดาา โฟม บรรจุภัณฑ์ทุกชนิด,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.สยาม ฌีฑะวัน จำกัด,ผลิตและจำหน่ายผลิตภัณ์สปาสมุนไพรธรรมชาติ เช่น ชุดเครื่องสำอางใช้บำรุงผิวหน้าและผิวกาย,แขวงกระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.ซิลเวอร์สปูน จำกัด,พัฒนาระบบสารสนเทศและบริการผ่านระบบเครือข่ายบนโทรศัพท์เคลื่อนที่,แขวงสามเสนใน,เขตพญาไท,กรุงเทพมหานคร,10400
บจ.รินลดา 2016 จำกัด,ประกอบกิจการขายเสื้อผ้า กระเป๋า รองเท้า โดยการใช้วิธีการจากสื่ออิเล็กทรอนิกส์ ผ่านระบบเครือข่ายอินเตอร์เน็ต,แขวงยานนาวา,เขตสาทร,กรุงเทพมหานคร,10120
บจ.เจดี อิเล็กทรอนิกส์ เวนดิ้ง จำกัด,ประกอบกิจการผลิตเครื่องเติมน้ำมันเชื้อเพลิงแบบเติมเงิน,แขวงทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,10250
บจ.แฮปปี้ริชเชส จำกัด,ประกอบกิจการให้เช่าสำนักงาน ที่พักอาศัย อพาร์ทเม้น เฟอร์นิเจอร์ ที่จอดรถ,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
บจ.เสรีวัฒนา เซอร์วิส จำกัด,ประกอบกิจการศูนย์บริการรับซ่อมแซ่ม บำรุงรักษา ตรวจสอบ ปรับถ่ายหรือเปลี่ยน อะไหล่ ชิ้นส่วนยานยนต์,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
บจ.โบทานิค เฮาส์ จำกัด,จำหน่ายสินค้าจากสมุนไพร,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.ไลฟ์ ฮับ จำกัด,ประกอบธุรกิจให้บริการฝึกฝนการทำงานของสมอง การทดสอบทางจิตวิทยา การจัดฝึกอบรมและสัมมนาที่เกี่ยวข้อง,แขวงสวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,10250
บจ.เคเคเอ็น ดีไซน์ แอนด์ เอ็นจิเนียริ่ง จำกัด,การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะสำหรับงานก่อสร้าง,ต.ดอนนางหงส์,อ.ธาตุพนม,จ.นครพนม,48110
บจ.เวล แคปิตอล จำกัด,การผลิตและการส่งไฟฟ้า,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
บจ.ดอลฟิน กรุ๊ป จำกัด,การผลิตและการส่งไฟฟ้า,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,10260
บจ.เอสเค ทริปเปอร์ จำกัด,ประกอบกิจการประมูลเพื่อขายสินค้าให้แก่ส่วนราชการ,ต.บ้านคลองสวน,อ.พระสมุทรเจดีย์,จ.สมุทรปราการ,10290
บจ.ริเริ่ม คอร์ปอเรชั่น จำกัด,ให้บริการติดตั้ง ซอฟต์แวร์,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,10400
บจ.ไดมอนด์ ไทท์ เอ็นจิเนียริ่ง จำกัด,ประกอบกิจการรับเหมาก่อสร้าง,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.เวล ซินเนอจี จำกัด,ซื้อ ขาย นำเข้า และส่งออกซึ่งปิโตรเลียมและผลิตภัณฑ์ปิโตรเลียม,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
บจ.ดารายา อินเตอร์ จำกัด,ประกอบกิจการเป็นตัวแทนจำหน่ายเวชภัณฑ์ยาอุปกรณ์การแพทย์แลเครื่องมือทางด้านการแพทย์,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
บจ.ตอนที่หนึ่ง จำกัด,ประกอบกิจการซื้อ ขาย หนังสือทางออนไลน์,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.โกลด์ ดอลฟิน จำกัด,ผลิต ขายส่งและขายปลีกไฟฟ้าจากพลังงานความร้อนและไอน้ำ,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,10260
บจ.ปราวาดา พร็อพเพอร์ตี้ จำกัด,ประกอบกิจการค้า ขายปลีกขายส่งผ้าผ้าทอจากใยสังเคราะห์ ผ้า เสื้อผ้าสำเร็จรูป,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,10110
บจ.มีเดียโดนัทส์ จำกัด,ประกอบกจการให้บริการทางเทคโนโลยี ขายสื่อโฆษณา,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.ดอลฟิน แคปปิตอล รีซอสเซส จำกัด,ประกอบกิจการซื้อขาย ผลิต เชื้อเพลิง สำหรับผลิตไฟฟ้า ฯ,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,10260
บจ.ไอพีที เมดิคอล ซัพพลาย จำกัด,ประกอบกิจการของตัวแทนและนายหน้าอสังหาริมทรัพย์ คนกลางในการซื้อขาย และหรือให้เช่า โครงการอสังหาริมทรัพย์ ทุกประเภทที่กระทำโดยรับค่าตอบแทน หรือตามสัญญาจ้าง,แขวงบางลำภูล่าง,เขตคลองสาน,กรุงเทพมหานคร,10600
บจ.เนเชอรัล เฮลท์ เทรนด์ส (ประเทศไทย) จำกัด,ประกอบกิจการจำหน่ายผลิตภัณฑ์เพื่อความงามและสุขภาพ,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.เดอะ กู๊ด ดริงค์ จำกัด,ประกอบกิจการคิดค้น พัฒนาผลิตภัณฑ์กาแฟ และผลิตภัณฑ์ที่มีกาแฟเป็นส่วนผสม,แขวงหนองบอน,เขตประเวศ,กรุงเทพมหานคร,10250
บจ.ออโต้คัทท์ (ไทยแลนด์) จำกัด,ประกอบกิจการสถานเสริมความงาม,แขวงจตุจักร,เขตจตุจักร,กรุงเทพมหานคร,10900
บจ.ปารย์รวี จำกัด,ประกอบกิจการค้าสินค้าที่ทำจากพลาสติกทุกชนิด,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
บจ.ไชน่า วานซิ เอ็นไวรอนเมนทัล โปรเทคชั่น (ประเทศไทย) จำกัด,ประกอบกิจการจำหน่ายน้ำมันดิบ น้ำมันปาล์ม น้ำมันไบโอดีเซลน้ำมันทดแทน,ต.บางขนุน,อ.บางกรวย,จ.นนทบุรี,11130
บจ.เจไอที ทรานส์ จำกัด,ให้คำปรึกษาและการบริหารจัดการเกี่ยวกับโลจิสติกส์ ห่วงโซ่อุปทานและงานติดตั้งโปรแกรมและซอฟแวร์,ต.บางคล้า,อ.บางคล้า,จ.ฉะเชิงเทรา,24110
บจ.ตี๋ใหญ่ มอเตอร์สปอร์ต จำกัด,ประกอบกิจการ จำหน่ายเครื่องตกแต่งรถยนต์ รถจักรยานยนต์,ต.ลาดค่าง,อ.ภูเรือ,จ.เลย,42160
บจ.บี.กริม แบบคอค เพาเวอร์ จำกัด,ขายทำการตลาด กิจการอื่นๆที่เกี่ยวกับการผลิต ออกแบบก่อสร้างติดตั้งบำรุงรักษาอุปกรณ์และระบบผลิตพลังงาน,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.เค-สไตล์ โฟร์ ยู จำกัด,ประกอบธุรกิจการค้า ขายปลีก ขายส่ง เสื้อผ้า เครื่องนุ่งห่ม เครื่องแต่งกายหรือเครื่องอุปโภคอื่นๆทุกชนิด ผ่านทางระบบอิเลกทรอนิกส์,ต.ศาลายา,อ.พุทธมณฑล,จ.นครปฐม,73170
บจ.เอ็นไวร์ โซลูชั่น จำกัด,การจัดการน้ำเสีย,แขวงจอมทอง,เขตจอมทอง,กรุงเทพมหานคร,10150
บจ.เพเทนเนอร์ เอเชีย จำกัด,ให้บริการวิศวกรรมและเทคนิค ออกแบบ ติดตั้ง ตรวจสอบและควบคุมเครื่องจักร เครื่องมืออุปกรณ์,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.ทราเวลสเคป จำกัด,จำหน่ายตั๋วเครื่องบิน นำเที่ยวทั้งภายในและภายนอกประเทศ เป็นตัวแทนธุรกิจการเดินทาง,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,10110
บจ.สมบัติ เลี้ยงสำอางค์ 2019 จำกัด,ประกอบกิจการอพาร์เม้นท์ให้เช่าแก่บุคคลและนิติบุคคลทั่วไป,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.เสรีวัฒนา แบตเตอรี่ จำกัด,ประกอบกิจการค้า นำเข้า ส่งออก อะไหล่ และอุปกรณ์ต่างๆ ที่ใช้กับยานพาหนะทุกชนิด เครื่องกำเนิดไฟฟ้า เครื่องกำเนิดไอน้ำ,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
บจ.เซนยุม (ประเทศไทย) จำกัด,ประกอบกิจการค้า ผลิต นำเข้าเครื่องสำอาง เครื่องมือเเพทย์ เครื่องใช้เสริมความงาม อุปกรณ์ความงาม อุปกรณ์อาหารเสริม เครื่องอุปโภค บริโภค ,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,10260
บจ.เมคคานิคอล โหลดดิ้ง เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,จำหน่าย ติดตั้ง ซ่อมแซม อุปกรณ์สูบถ่ายน้ำมันหรือสารเคมีทางเรือ,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.นัวไต เฮลท์ คอนซัลท์ จำกัด,กิจกรรมการออกแบบเฉพาะด้านอื่นๆซึ่งมิได้จัดประเภทไว้ ในที่อื่น,แขวงหลักสอง,เขตบางแค,กรุงเทพมหานคร,10160
บจ.ตี้จิ่ว จำกัด,ประกอบกิจการนำเข้า เครื่องดื่มแอลกฮอล์เพื่อจำหน่าย,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.ล้านนาซีบีดี (ประเทศไทย) จำกัด,ประกอบกิจการเป็นผู้นำเข้า ส่งออก จัดจำหน่าย ผลิต เเปรสภาพผลิตภัณฑ์เกษตรกรรมทุกชนิด,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.ล้านนาแคนนาบิซ จำกัด,ประกอบกิจการเพาะปลูก พืชไร่ พืชสวน เเละพืชอื่นๆทุกชนิด,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.พรอสไลน์ วิศวกรรม จำกัด,ประกอบกิจการรับติดตั้งระบบไฟฟ้า ระบบสื่อสารคมนาคมทุกชนิด งานระบบปรับอากาศและระบบอากาศ,ต.ลำลูกกา,อ.ลำลูกกา,จ.ปทุมธานี,12150
บจ.เอ.ซี.โดเมน (1995) จำกัด,ออกแบบให้คำปรึกษาเกี่ยวกับระบบไฟฟ้า ระบบปรับอากาศ ระบบสุขาภิบาล,แขวงสะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,10240
บจ.ทานบุญ แอพพลิเคชั่น จำกัด,ประกอบธุรกิจให้บริการออนไลน์ และ หรือ ขายสินค้าออนไลน์,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.เอ็มทูเค มั่งมี จำกัด,ประกอบกิจการให้บริการที่ปรึกษาธุรกิจและการตลาด กฎหมาย บัญชี ภาษี,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,10240
บจ.ทีเจ โปรเวิร์ก กรุ๊ป จำกัด,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
บจ.คลีโอเม่ไทยเฮิร์บ จำกัด,ประกอบกิจการนำเข้า ส่งออก จำหน่าย ผลิตภัณฑ์แปรรูปจากการเกษตร ผลิตภัณฑ์เกษตรหรือพืชผลทางเกษตรอื่น,แขวงหนองจอก,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.พาโทรนุม โกลบอล จำกัด,การวิจัยและพัฒนาเชิงทดลองด้านเทคโนโลยีชีวภาพ,ต.วัดประดู่,อ.เมืองสุราษฎร์ธานี,จ.สุราษฎร์ธานี,84000
บจ.ซี.เจ. ยูนิฟู้ด จำกัด,ประกอบธุรกิจค้าปลีกค้าส่ง อาหารสด อาหารทางการเกษตร และเครื่องปรุง เครื่องประกอบอาหารทุกชนิด นำเข้า ส่งออก ผลิตภัณฑ์การเกษตร และ พืชผลทางการเกษตรทุกชนิด,แขวงท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
บจ.ไทย สมาร์ท โกรเวอร์ส จำกัด,ประกอบกิจการปลูก ขยายพันธุ์พืชทุกชนิด และเพื่อการวิจัย,แขวงราษฎร์บูรณะ,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,10140
บจ.แอคชั่น สปอร์ต จำกัด,การศึกษาด้านกีฬาและนันทนาการ,ต.วัดชลอ,อ.บางกรวย,จ.นนทบุรี,11130
บจ.พีเจ อันชา จำกัด,การบริการเป็นตลาดกลางในการซื้อขายสินค้าหรือบริการ โดยวิธีใช้สื่ออิเล็กทรอนิกส์ผ่านระบบเครือข่ายอินเทอร์เน็ต,ต.ตลาดขวัญ,อ.เมืองนนทบุรี,จ.นนทบุรี,11000
บจ.อินโนเวทีฟ คอมเมิร์ซ จำกัด,ประกอบกิจการค้า เสื้อผ้า เครื่องอุปโภค อุปกรณ์การเล่นกีฬา,แขวงบุคคโล,เขตธนบุรี,กรุงเทพมหานคร,10600
บจ.ไทย อาซานุมะ โฮลดิ้งส์ จำกัด,ประกอบกิจการเข้าเป็นหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด เป็นที่ปรึกษาและให้คำแนะนำด้านบริหารงาน รวมทั้งปัญหาการผลิตและจัดจำหน่าย,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.ไทย อาซานุมะ คอนสตรัคชั่น จำกัด,ประกอบกิจการรับเหมาก่อสร้าง,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.เอ็มพี 36 จำกัด,ประกอบกิจการร้านกาแฟ ขายเครื่องดื่มและเบเกอรี่,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.ดริป ซิลเวอร์ จำกัด,ประกอบกิจการบริการด้านเครื่องดื่มที่ไม่มีแอลกอฮอล์เป็นหลักในร้าน,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
