name,objective,office,place_t,place_e,place,post_num
บจ.สยาม เคพี เทรด จำกัด,ประกอบกิจการค้าส่งน้ำมันเชื้อเพลิง ก๊าซปิโตรเลียมเหลว ผลิตภัณฑ์ปิโตรเลียมทุกประเภท ถ่านหิน ผลิตภัณฑ์จากถ่านหิน,99/3  ซอย 01 กาญจนาภิเษก 4,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.ไทย กู่กู่ เคเทอริ่ง จำกัด,ประกอบกิจการร้านอาหารและเครื่องดื่ม,1762/5  ถนนอ่อนนุช,แขวงอ่อนนุช,เขตสวนหลวง,กรุงเทพมหานคร,10250
บจ.เซาท์  ออร์ชาร์ด จำกัด,ประกอบกิจการบริการรับติดตั้งแผงโซล่าเซลส์  บริการบำรุงรักษา  ซ่อมแซม  อะไหล่และวัสดุอุปกรณ์ที่  เกี่ยวข้องกับสินค้าดังกล่าวทุกชนิด,227  ซอย จรัญสนิทวงศ์  63,แขวงบางบำหรุ,เขตบางพลัด,กรุงเทพมหานคร,10700
บจ.เอ็มเอ็ม เลนส์ จำกัด,"ประกอบกิจการนำเข้า, ขายส่ง ? ขายปลีก, ขายออนไลน์ คอนแทคเลน ทุกประเภท โดยไม่ใช่ธุรกิจขายตรง หรือธุรกิจตลาดแบบตรง",69/16  ซอย จตุโชติ 6 ถนนจตุโชติ,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.ฐานะ ดิจิตอล โซลูชั่น จำกัด,ประกอบกิจการ ซื้อ ขาย ประมูล และบริการ ตลอดจนรับจ้าง จ้างเหมาทุกชนิด ตามวัตถุประสงค์ให้แก่บุคคล คณะบุคคล นิติบุคคล เอกชน ส่วนราชการ องค์การหรือองค์กรของรัฐ,99/151  หมู่ที่ 1 ซอย สุวินทวงศ์ 42,แขวงลำผักชี,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.บ้านสี่เหลี่ยม จำกัด,ประกอบกิจการรับจ้างวางแผนกลยุทธ์ทางการตลาด การสื่อสารการตลาด และการโฆษณาประชาสัมพันธ์ทุกประเภท,10/4  ซอย สตรีวิทยา 2 ซอย 9 ถนนสตรีวิทยา 2,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
บจ.สยาม ฮับ (ไทยแลนด์) จำกัด,สั่งเข้ามาจำหน่ายในประเทศและส่งออกไปจำหน่ายยังต่างประเทศ ซึ่งสินค้าตามที่กำหนดไว้ในวัตถุที่ประสงค์,94/109  ถนนคู้บอน,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.เอสทูโปรคาร์เพนเตอร์ ทีมเวิร์ค จำกัด,ประกอบกิจการรับเหมาก่อสร้าง งานไม้ งานตกแต่งภายใน และงานต่อเติมอาคารทุกชนิด,11/4  หมู่ที่ 2,แขวงโคกแฝด,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.ดูปังร่ำรวย จำกัด,ประกอบกิจการ ภัตตราคาร ร้านจำหน่ายอาหาร ขนม ของว่าง เครื่องดื่มทุกชนิด ทุกประเภท รวมทั้งการ ซื้อ ขายระบบเฟรนไชน์  เกี่ยวกับอาหาร ขนม ของว่าง เครื่องดื่ม ทุกชนิด ทุกประเภท,8/99  อาคารตลาดกัลปพฤกษ์  ห้องเลขที่ D1-02 ชั้นที่ 1 ถนนกัลปพฤกษ์,แขวงบางแค,เขตบางแค,กรุงเทพมหานคร,10160
บจ.ไดรเวอร์ อีวี ไทย จำกัด,ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการโดยประการอื่น ซึ่งทรัพย์สินใดๆ,60/337  ซอยประเสริฐมนูกิจ 27 ถนนประเสริฐมนูกิจ,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,10230
บจ.พีเจ เพรสทีจ จำกัด,ประกอบกิจการจำหน่ายและส่งออกทุเรียนแช่แข็ง ทุเรียนสด ทุเรียนแปรรูป ทุเรียนอบแห้ง จากสวนทุเรียน รวมถึงผลไม้ทุกชนิด จากสวนผลไม้ พร้อมบริการขนส่งทั้งในประเทศและต่างประเทศ,92/26  ถนนเฉลิมพระเกียรติ ร.๙,แขวงหนองบอน,เขตประเวศ,กรุงเทพมหานคร,10250
บจ.กรีนฟิลด์ แคปปิตอล จำกัด,ประกอบกิจการลงทุนในหลักทรัพย์ทุกประเภท ทั้งซื้อ ขาย ถือครอง หรือโอนหุ้น หุ้นกู้ ตราสารหนี้ ตราสารทุนหรือหลักทรัพย์อื่นใดของ บริษัทหรือกิจการทั้งในและนอกตลาดหลักทรัพย์ ทั้งในประเทศและต่างประเทศ ทั้งนี้ ภายใต้บังคับของกฎหมายที่เกี่ยวข้องและเมื่อได้รับอนุญาต จากหน่วยงานกำกับดูแลที่มีอำนาจ (ถ้ามี),7  อาคารซัมเมอร์ พอยท์  ห้องเลขที่ 143 ชั้นที่ 2 ซอย สุขุมวิท 69,แขวงพระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.เตนธ์ ซาวน์ จำกัด,ประกอบกิจการธุรกิจด้านบันเทิงทุกประเภท และ ให้คำปรึกษา เช่น จัดคอนเสิร์ต ละครเวที การแสดงต่างๆ,2526/18  ถนนกรุงเทพ-นนทบุรี,แขวงวงศ์สว่าง,เขตบางซื่อ,กรุงเทพมหานคร,10800
บจ.ตะวันเคอร์เทน จำกัด,ประกอบกิจการ บริการออกแบบ ผลิต และเป็นตัวแทนจำหน่ายผ้าม่าน มู่ลี่ วอลเปเปอร์ ม่านม้วน ม่านปรับแสง ฉากกั้นห้อง พร้อมด้วยบริการติดตั้ง,222/166  หมู่บ้าน พาทาโกเนีย 5 ถนนเลียบคลองสอง,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.อาร์ดีเอกซ์ อินเตอร์เนชั่นแนล จำกัด,นำเข้า ขายส่ง ขายปลีก จัดจำหน่าย สินค้าโรโบไทม์ ของเล่น / สะสมทั่วไปทุกประเภท,33/14  หมู่บ้าน วิลล่า อัลแบโร พระราม 9 ถนนกรุงเทพกรีฑา,แขวงทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,10250
บจ.เพิร์ก เพ็ท จำกัด,นำเข้า ผลิต และจำหน่ายอาหารสำเร็จรูปสำหรับสัตว์ทุกชนิดทุกประเภท รวมทั้งอาหารสัตว์เลี้ยง อาหารแปรรูป,51  อาคารเมเจอร์ ทาวเวอร์ พระราม 9 - รามคำแหง  ห้องเลขที่ 4.1 ชั้นที่ 11 ถนนพระราม 9,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.แอลบี มอเตอร์ไบค์ จำกัด,ประกอบกิจการจำหน่ายรถจักรยานยนต์ อะไหล่ อุปกรณ์ตกแต่ง เครื่องมือช่าง และส่วนประกอบของรถจักรยานยนต์ทุก ชนิด,"146,148  ถนนคู้บอน",แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
บจ.มหาทรัพย์รวย การค้า  จำกัด,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,121   ห้องเลขที่ 199 ซอย ช่างอากาศอุทิศ ถนนช่างอากาศอุทิศ15,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
บจ.ลาน แอสเสท จำกัด,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัด และบริษัทมหาชนจำกัด,75/13  อาคารโอเชี่ยน ทาวเวอร์ 2 ชั้นที่ 15 ซอย สุขุมวิท 19 (วัฒนา) ถนนสุขุมวิท,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.ไทย ฟิวชั่นลิงค์ จำกัด,ประกอบธุรกิจดาต้า เซ็นเตอร์ (Data Center) รวมทั้งการให้บริการรับฝากวางคอมพิวเตอร์แม่ข่าย (Server Colocation) บริการดูแลระบบ (Managed Service) บริการ Backup เครื่อง Server บริการ Disaster Recovery Services (DRS) ให้บริการเช่าเครื่องแม่ข่ายสำหรับฝากวางข้อมูล (Data Hosting),23  ถนนร่วมจิตต์,แขวงถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300
บจ.ไทย ซิงค์ลิงค์ จำกัด,ประกอบธุรกิจดาต้า เซ็นเตอร์ (Data Center) รวมทั้งการให้บริการรับฝากวางคอมพิวเตอร์แม่ข่าย (Server Colocation) บริการดูแลระบบ (Managed Service) บริการ Backup เครื่อง Server บริการ Disaster Recovery Services (DRS) ให้บริการเช่าเครื่องแม่ข่ายสำหรับฝากวางข้อมูล (Data Hosting),23  ถนนร่วมจิตต์,แขวงถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300
บจ.เมสเซ่ เอเชีย จำกัด,ประกอบกิจการรับออกแบบ รับจัดงานอีเว้นท์ (Event) งานแสดงสินค้า (Exhibition) งานเปิดตัวสินค้า งานออกบูธ งานประชุม,70/183  ซอย รามคำแหง 176,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
บจ.ฟรอนเทียร์ อินเทอร์รา โซลาร์ เอ็นเนอร์จี จำกัด,เพื่อประกอบธุรกิจพัฒนา ลงทุน ก่อสร้าง ติดตั้ง ดำเนินงาน และบำรุงรักษาโครงการผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ แบบโซลาร์เซลล์ รวมทั้งพัฒนา ลงทุน ก่อสร้าง จำหน่าย ติดตั้ง ดำเนินงาน และบำรุงรักษาโครงการวิศวกรรมสถานี หรือระบบเสาชาร์จไฟฟ้า สำหรับยานยนต์ไฟฟ้า (Charging Pile),169/1  ซอย ภาวนา,แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.เช็งฟู่ อมูเลท (ประเทศไทย) จำกัด,ประกอบกิจการ ซื้อขาย แลกเปลี่ยน ให้เช่าบูชาและรับเช่าบูชา พระเครื่อง พระบูชา วัตถุมงคล เครื่องรางของขลัง และของมีค่าทาง ศิลปะทุกชนิด,94/19  ถนนงามวงศ์วาน,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
บจ.ซีเอ็น เทรดดิ้ง 2026 จำกัด,ประกอบกิจการซื้อ ขาย จัดหา รับเช่า ให้เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ โอน จำนอง แลกเปลี่ยน อสังหาริมทรัพย์  โดยมิได้รับฝากเงินหรือ รับเงินจากประชาชนและใช้ประโยชน์จากเงินนั้น,2258/10  ถนนเจริญกรุง,แขวงบางคอแหลม,เขตบางคอแหลม,กรุงเทพมหานคร,10120
บจ.หะริน ยอร์ช ยาร์ด จำกัด,ซ่อมเรือ และที่จอดเรือ,38  ถนนมไหสวรรย์(ฝั่งขวา),แขวงบางคอแหลม,เขตบางคอแหลม,กรุงเทพมหานคร,10120
บจ.หานเฉิง บรรจุภัณฑ์ (ไทยแลนด์) จำกัด,ผลิตและจำหน่ายบรรจุภัณฑ์พลาสติก บรรจุภัณฑ์กระดาษ วัสดุบรรจุภัณฑ์ กล่องกระดาษ ถุงพลาสติก  และผลิตภัณฑ์บรรจุภัณฑ์ทุกชนิด รวมทั้งการนำเข้าและส่งออกสินค้า,1013/11  ถนนประชาพัฒนา,แขวงทับยาว,เขตลาดกระบัง,กรุงเทพมหานคร,10520
บจ.หัวเทค ดิจิทัล เทคโนโลยี (ไทยแลนด์) จำกัด,ประกอบกิจการให้บริการสนับสนุนทางธุรกิจที่เกี่ยวเนื่องกับเทคโนโลยีและการศึกษา,554  อาคารสกายไนน์ เซ็นเตอร์  ห้องเลขที่ 27XN07 ชั้นที่ 27 ถนนอโศก-ดินแดง,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,10400
บจ.เดอะ บลิส มาสสาจ แอท โฮม จำกัด,ประกอบกิจการให้บริการนวดผ่อนคลาย นวดเพื่อสุขภาพ นวดนอกสถานที่ รวมทั้งการจองทุกประเภทและการจองผ่านทางแพลตฟอร์มแอพพลิเคชั่น,87/114-115  ซอย สุขุมวิท 63(เอกมัย),แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.รอแยล ชยา เอนเนอร์จี แอนด์ เทคโนโลยี จำกัด,จำหน่าย ติดตั้งแผงโซลาร์เซลล์ ผลิตไฟฟ้า กังหันน้ำผลิตไฟฟ้า ปั๊มน้ำโซลาร์เซลล์ เครื่องแปลงไฟ,54  ซอยลาดพร้าว43(สันติคาม47),แขวงสามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.ทีดับเบิ้ลยู ตะวัน กรุ๊ป (ประเทศไทย) จำกัด,ประกอบกิจการผลิต รับจ้างผลิต ออกแบบ และจำหน่ายเสื้อผ้า เครื่องแต่งกายและเครื่องนุ่งห่มทุกชนิด ทั้งขายปลีกและขายส่ง,1315/1  ซอย ประชาอุทิศ 79,แขวงทุ่งครุ,เขตทุ่งครุ,กรุงเทพมหานคร,10140
บจ.เริ่มจากความสุข จำกัด,ประกอบกิจการค้า เสื้อผ้า รองเท้า กระเป๋า และเครื่องประดับ ทั้งหน้าร้านและทางอินเทอร์เน็ต (ซึ่งไม่ใช่การประกอบธุรกิจขายตรงหรือ ตลาดแบบตรง ตาม พ.ร.บ.ขายตรงและตลาดแบบตรง พ.ศ. 2545) ,4  ซอย 60 (การเคหะฯ),แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.เรียลแฟค โฮลดิ้ง จำกัด,เข้าเป็นหุ้นส่วนในห้างหุ้นส่วนจํากัด บริษัทจํากัด บริษัทมหาชนจํากัด ร่วมลงทุนกับบุคคล นิติบุคคล องค์กร ทั้งภาครัฐและเอกชน ทั้งภายในและภายนอกราชอาณาจักร ไม่ว่าจะมีวัตถุประสงค์เหมือนหรือแตกต่างไปจากวัตถุประสงค์บริษัทหรือไม่ก็ตาม,105  ซอย เทิดราชัน 7 ถนนเทิดราชัน,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
บจ.เอซแมน ทราเวล จำกัด,ประกอบกิจการให้เช่ารถยนต์ รถจักรยานยนต์ทุกชนิด,218/482  ถนนรัชดาภิเษก,แขวงห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.หมิงจี คอนสตรัคชั่น (ประเทศไทย) จำกัด,ประกอบกิจการงานก่อสร้างอาคาร งานตกแต่งภายใน งานติดตั้งโครงสร้างเหล็ก งานภูมิทัศน์ งานออกแบบ การจำหน่ายวัสดุก่อสร้าง งานระบบอัจฉริยะ (Smart System) และบริการการค้าต่างประเทศ,25/10-11  ซอย ศูนย์วิจัย,แขวงบางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,10310
บจ.สวนอุตสาหกรรมตะวันออก จำกัด,จัดสรรที่ดิน-ตั้งสวนอุตสาหกรรมเพื่อจัดสรรที่ดินสร้างโรงงานปลอดมลพิษ (เมื่อได้รับอนุญาตจาหน่วยงานที่เกี่ยวข้อง),99  ถนนปัญญาอินทรา,แขวงสามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.ซันไรส์ บีช จำกัด,ประกอบกิจการโรงแรม รีสอร์ต ภัตตาคาร บาร์ ร้านอาหาร ไนท์คลับ สถานที่จำหน่ายอาหารและเครื่องดื่มทุกชนิด,571  อาคารอาร์เอสยูทาวเวอร์  ห้องเลขที่ 1001เอ ชั้นที่ 10 ซอย สุขุมวิท 31 ถนนสุขุมวิท,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,10110
บจ.นีโอ นิว เอนเนอร์จี เทคโนโลยี (ประเทศไทย) จำกัด,บริการให้คำปรึกษาด้านเทคโนโลยี และการถ่ายทอดเทคโนโลยีในด้านพลังงานใหม่,111  อาคารเพียร์ 111 ชั้นที่ 19 ถนนราชดำริห์,แขวงลุมพินี,เขตปทุมวัน,กรุงเทพมหานคร,10330
บจ.298 เฮาส์ จำกัด,บริการออกแบบและตกแต่งที่อยู่อาศัย,959/36  ซอยจรัญสวิทวงศ์,แขวงบางขุนศรี,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
บจ.เบทเทอร์ พรอสเพอร์  จำกัด,ประกอบกิจการค้า วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง เครื่องมือช่างทุกประเภท สี เครื่องมือทาสี เครื่องตกแต่ง อาคาร เครื่องเหล็ก เครื่องทองแดง เครื่องทองเหลือง เครื่องเคลือบ เครื่องสุขภัณฑ์ อุปกรณ์ประปา รวมทั้งอะไหล่และอุปกรณ์ ของสินค้าดังกล่าว,69  ซอย ลาดพร้าว136 (สุขสันต์4),แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240
บจ.อนุรักษ์พลังงานเพื่อสิ่งแวดล้อม จำกัด,เพื่อประกอบธุรกิจให้บริการจัดเก็บและขนส่งของเสียจากชุมชน โรงพยาบาล โรงงานอุตสาหกรรม นิคมอุตสาหกรรม หน่วยงาน นิติบุคคลและองค์กรของรัฐต่างๆ,57  ซอย รามอินทรา 65 แยก 4,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
บจ.รัชนกอาหารสัตว์ จำกัด,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,559/25  ถนนจรัญสนิทวงศ์,แขวงบางขุนศรี,เขตบางกอกน้อย,กรุงเทพมหานคร,10700
บจ.ดับเบิลยู.ที. เอ็นจิเนียริ่ง (2002) จำกัด,ประกอบกิจการรับเหมาก่อสร้างอาคาร  อาคารพาณิชย์  อาคารที่พักอาศัย  สถานที่ทำการ  ถนน  สะพาน  เขื่อน  อุโมงค์ และงานก่อสร้างอย่างอื่นทุกชนิด  รวมทั้งรับทำงานโยธาทุกประเภท,1  ซอย นวมินทร์ 163 แยก 2,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230
บจ.นอร์เม็กซ่า จำกัด,ประกอบกิจการค้า จำหน่าย วิจัย นำเข้าหรือส่งออก แปรรูป กัญชา และกัญชง ทั้งนี้จะประกอบกิจการได้ต้องปฏิบัติตามกฎหมายที่เกี่ยวข้อง,13  ซอย รามคำแหง 118 แยก 29,แขวงสะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,10240
บจ.บีเจที แอปเวิร์ค จำกัด,ผลิตและจำหน่ายซอฟต์แวร์และโปรแกรมคอมพิวเตอร์เฉพาะทาง,55/80  ถนนวัชรพล,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
บจ.อาร์บีจี ไซเอนติฟิค (ประเทศไทย) จำกัด,ประกอบกิจการให้คำปรึกษา ประสานงานและบริหารจัดการตัวอย่างสินค้าเพื่อส่งตรวจวิเคราะห์ทางวิทยาศาสตร์,1956  ถนนพหลโยธิน,แขวงจันทรเกษม,เขตจตุจักร,กรุงเทพมหานคร,10900
บจ.ธนศักดิ์ ศรี จำกัด,ประกอบกิจการจำหน่ายอาหารทะเลทุกประเภท,33/107  หมู่ที่ 1,ต.รัษฎา,อ.เมืองภูเก็ต,จ.ภูเก็ต,83000
บจ.ไอไมล์ โลจิสติกส์ เซอร์วิส (ประเทศไทย) จำกัด,ประกอบกิจการขนส่งและขนถ่ายสินค้า  และคนโดยสารทั้งทางบก  ทางน้ำ  ทางอากาศ  ทั้งภายในประเทศและระหว่างประเทศ รวมทั้งรับบริการนำของออกจากท่าเรือตามพิธีศุลกากรและการจัดระวางการขนส่งทุกชนิด,252  อาคารเอสพีอี  ห้องเลขที่ 1013-02 ชั้นที่ 10 ถนนพหลโยธิน,แขวงสามเสนใน,เขตพญาไท,กรุงเทพมหานคร,10400
บจ.ซีเอ โก้ จำกัด,ซื้อขายเครื่องมือ เครื่งจักรโรงงานอุตสาหกรรม รับซื้อเศษวัสดุจากโรงงาน,38/1767  ถนนไทยรามัญ,แขวงสามวาตะวันตก,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.เฮอร์ ดีไซน์ สตูดิโอ จำกัด,"บริการรับออกเเบบอัตลักษณ์องค์กร (Branding),โลโก้,สื่อสิ่งพิมพ์,สื่อดิจิทัล เเละภาพประกอบทุกประเภท",199  ซอย สวนพลู ถนนสาทร,แขวงทุ่งมหาเมฆ,เขตสาทร,กรุงเทพมหานคร,10120
บจ.เวลา แอดไวซอรี จำกัด,ประกอบกิจการให้คำปรึกษาและบริการด้านการพัฒนาโครงการอสังหาริมทรัพย์ โรงแรม รีสอร์ท อาคารสำนักงาน และโครงการพัฒนาอสังหาริมทรัพย์ทุกประเภท,88/30  ถนนปัญญาอินทรา,แขวงบางชัน,เขตคลองสามวา,กรุงเทพมหานคร,10510
บจ.บางกอก เออร์เบิร์น ฮับ จำกัด,ประกอบกิจการ รับบริหารพัฒนาพื้นที่เช่า จัดนิทรรศการสื่อความหมายทั้งไทยและต่างประเทศ,101/272  ถนนกัลปพฤกษ์,แขวงคลองบางพราน,เขตบางบอน,กรุงเทพมหานคร,10150
บจ.เออาดี สติทชิ่ง จำกัด,ประกอบกิจการจำหน่ายปลีกและส่ง เสื้อผ้าสำเร็จรูป,18/8  ซอย สมปรารถนา แยก 2,แขวงดินแดง,เขตดินแดง,กรุงเทพมหานคร,10400
บจ.คิโนโกะ เวลเนส จำกัด,ประกอบกิจการบริการสปา นวดไทย นวดน้ำมัน เพื่อสุขภาพและความงามทุกประเภท,1213/208  ซอย ลาดพร้าว94(ปัญจมิตร),แขวงพลับพลา,เขตวังทองหลาง,กรุงเทพมหานคร,10310
บจ.ซีมายด์ จำกัด,ประกอบกิจการร้านอาหาร จำหน่ายอาหาร ขนม เครื่องดื่ม และอื่นๆ ที่เกี่ยวข้อง,281/16  ซอย สีลม 1 ถนนสีลม,แขวงสีลม,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.จีบีทรี จำกัด,ประกอบกิจการรับเป็นที่ปรึกษา และให้คำแนะนำสำหรับธุรกรรมทางอิเล็คทรอนิกส์ และธุรกิจผ่านระบบสื่อสารไร้สาย,87  ชั้นที่ 5 ถนนเจริญราษฎร์,แขวงบางโคล่,เขตบางคอแหลม,กรุงเทพมหานคร,10120
บจ.เอ.เอ็น.เอ.พี. โกลบอล เซอร์วิส  จำกัด,ให้บริการยื่นเอกสารแทนบุคคลหรือนิติบุคคล,201/106  ซอย อยู่วิทยา 12,แขวงกระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.อินเนอ ไทรฟ์ จำกัด,ประกอบกิจการรับจ้างออกแบบ พัฒนาโครงสร้างหลักสูตร เนื้อหา และกิจกรรม รวมถึงการสร้างสรรค์ประสบการณ์การเรียนรู้ ตามความต้องการเฉพาะขององค์กร คัดสรรวิทยากร จัดหาและจัดจำหน่ายสื่อการสอนทุกรูปแบบให้เหมาะสมกับวัตถุประสงค์,78/58  หมู่บ้าน กลางกรุงสาธรเหนือใต้ ซอย 3 ถนนเจริญราษฎร์,แขวงบางโคล่,เขตบางคอแหลม,กรุงเทพมหานคร,10120
บจ.โอมิกส์ พลัส ดิไซน์ จำกัด,ประกอบกิจการผลิต ออกแบบ พัฒนา วิจัยและจำหน่ายอุปกรณ์ทางการแพทย์ อุปกรณ์วิทยาศาสตร์ และอุปกรณ์ห้องปฏิบัติการทุกชนิด,239/106  หมู่บ้าน ชมเดือน ซอย พุทธมณฑลสาย 2 ซอย 7,แขวงบางแคเหนือ,เขตบางแค,กรุงเทพมหานคร,10160
บจ.เอส เวลลิกซ์ จำกัด,ประกอบกิจการจำหน่ายเครื่องดื่ม นํ้าดื่ม นํ้าแร่ นํ้าผลไม้ และเครื่องบริโภคอื่น,68  ซอย สันติภาพ ถนนทรัพย์,แขวงสี่พระยา,เขตบางรัก,กรุงเทพมหานคร,10500
บจ.วี อาร์ เดอะ ฟลาวเว่อส์ อิน ยัวร์ ดัสต์บิน จำกัด,ประกอบกิจการรับผลิตสื่อวิทยุ โทรทัศน์ ภารพยนต์ โสตวัสดุอื่นๆ,903  ซอย ลาดพร้าว 71,แขวงสะพานสอง,เขตวังทองหลาง,กรุงเทพมหานคร,10310
บจ.พีทีเอ ออดิท แอนด์ แอดไวซอรี่ จำกัด,ประกอบกิจการรับตรวจสอบบัญชี,262/120  ถนนร่มเกล้า,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพมหานคร,10510
บจ.วิชั่นไนน์ เวลธ์ กรุ๊ป จำกัด,ประกอบกิจการบริการดูแลรักษายานพาหนะแบบครบวงจร ได้แก่ การซ่อมแซม บำรุงรักษา เปลี่ยนถ่ายน้ำมันเครื่อง ขัดเคลือบสี ล้างทำความสะอาด ขัดล้อ และจำหน่ายอะไหล่ อุปกรณ์ตกแต่งรถยนต์,4/7  หมู่ที่ 3,แขวงลำผักชี,เขตหนองจอก,กรุงเทพมหานคร,10530
บจ.สยามธาร โฮลดิ้ง จำกัด,ประกอบกิจการค้า (Trading) ซึ่งสินค้าตามที่กำหนดไว้ในวัตถุที่ประสงค์,59  ซอย พหลโยธิน 5 ถนนพหลโยธิน,แขวงพญาไท,เขตพญาไท,กรุงเทพมหานคร,10400
บจ.สุขไร้ขีด จำกัด,ประกอบกิจการให้บริการสนามเทนนิส สนามกีฬาในร่ม และสนามกีฬากลางแจ้งทุกประเภท,27  ซอย อนามัยงามเจริญ 25 แยก 4,แขวงท่าข้าม,เขตบางขุนเทียน,กรุงเทพมหานคร,10150
บจ.บี สปอร์ต กรุ๊ป จำกัด,ประกอบกิจการเป็นที่ปรึกษา วางแผน และบริหารจัดการกิจกรรมทางการตลาด การจัดงาน และสปอนเซอร์,34/263  ซอย 67 ถนนเฉลิมพระเกียรติ ร๙,แขวงประเวศ,เขตประเวศ,กรุงเทพมหานคร,10250
บจ.เอสเค คิด ชูส์ จำกัด,ประกอบกิจการค้า รองเท้า อุปกรณ์ทำความสะอาดรองเท้า,255/33  ซอย ถนนริมทางรถไฟสายแปดริ้ว,แขวงสี่แยกมหานาค,เขตดุสิต,กรุงเทพมหานคร,10300
บจ.ฌ ทิรา จำกัด,ประกอบกิจการรับเหมาก่อสร้างอาคาร  อาคารพาณิชย์  อาคารที่พักอาศัย  สถานที่ทำการ  ถนน  สะพาน  เขื่อน  อุโมงค์ และงานก่อสร้างอย่างอื่นทุกชนิด  รวมทั้งรับทำงานโยธาทุกประเภท,168/609  หมู่บ้าน อรุณทอง 6 ซอย เพชรเกษม 69 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ,แขวงหนองแขม,เขตหนองแขม,กรุงเทพมหานคร,10160
บจ.สองเนตร เบเกอรี่เฮาส์ จำกัด,ประกอบกิจการค้า ผลิต และจำหน่ายอาหาร ขนม เบเกอรี่ เครื่องดื่ม,157  หมู่ที่ 9,แขวงทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
